"MP","period","OM","risk","catch","SSB","Fbar","ICV"
"MSY1","all years","Reference set",0.126571428571429,0.909594052880361,1.06771064701476,0.824268966979763,0.110057620402561
"MSY1","all years","Baseline",0.014,0.928630367074934,1.02150983392255,0.913047605568536,0.108976818785984
"MSY1","all years","Catch: no discards",0.005,0.917546924155459,1.59246964162432,0.513548079216464,0.099558217617315
"MSY1","all years","Catch: 100% discards",0.026,0.89427431617095,0.886440952372009,1.04352373383427,0.11079406090371
"MSY1","all years","Catch: no migration",0.008,0.931130992618532,1.17275538162424,0.773789062848794,0.116089613022202
"MSY1","all years","M: -50%",0.872,0.838483708842628,0.510091487503342,1.78322962295872,0.107142857144092
"MSY1","all years","M: +50%",0,0.90000908362159,1.62059911654303,0.505000627675423,0.114492454647171
"MSY1","all years","M: Gislason",0.029,0.940160038534166,0.992172828996177,0.959395739277611,0.112261107877185
"MSY1","all years","R: no AC",0.002,0.928892259555976,1.0851806284196,0.849186932675198,0.104113843300935
"MSY1","all years","R: +20%",0.012,0.877438320587824,0.988563723265371,0.887888815807342,0.110661251961725
"MSY1","all years","R: -20%",0.013,1.02254581488728,1.05293885562112,0.963725585061091,0.111686080242442
"MSY1","all years","R: h -20%",0.029,0.961523163946226,0.905376748537833,1.08931312901554,0.110528282470339
"MSY1","all years","R: failure",0.759,0.732077213326335,0.726756311828819,0.915068644771165,0.156229990941603
"MSY1","all years","Catch: +10%",0.031,0.950950810213389,0.941738773085374,1.02889160022486,0.101805188464136
"MSY1","all years","Catch: -10%",0.005,0.899480535146637,1.11174969780486,0.797240145990644,0.105103222326249
"MSY1","all years","Uncertainty: index +20%",0.015,0.925298957914624,1.02037263904764,0.911536020708838,0.117448530289321
"MSY1","long term","Reference set",0.0631428571428571,0.967141109966854,1.07936695364098,0.836666687404807,0.105957978729363
"MSY1","long term","Baseline",0.014,0.994425702684327,1.05807028950354,0.93674513928446,0.102950034617792
"MSY1","long term","Catch: no discards",0.004,0.949427797266109,1.58841546941207,0.52517874949257,0.10826657058169
"MSY1","long term","Catch: 100% discards",0.026,0.992396075290034,0.950098970429595,1.06736983291182,0.101524907042893
"MSY1","long term","Catch: no migration",0.007,0.990221995111248,1.21533783136266,0.789069945796887,0.109775495977822
"MSY1","long term","M: -50%",0.386,0.933091383828674,0.535727679205703,1.8916607826395,0.0971195048899733
"MSY1","long term","M: +50%",0,0.915897094569811,1.61083478722155,0.504532535485627,0.11262059751725
"MSY1","long term","M: Gislason",0.029,0.992190063866321,1.00604992385774,0.977314593168223,0.108108106685924
"MSY1","long term","R: no AC",0.002,0.984384518561975,1.1151643775282,0.871875756026806,0.0980861186607188
