"MP","index","n1","v","x","w","risk","catch","ssb","icv"
1,"UK-FSP",1,1,0.68,3.12,0.0491428571428571,0.943072358042355,1.21616897227651,0.200000000000575
2,"UK-FSP",2,2,0.66,3.7,0.0298571428571429,0.982281257594839,1.39675351376626,0.200000000002284
3,"Q1SWBeam",1,1,0.84,2.81,0.0498571428571429,0.966665354306846,1.23864620956338,0.200000000000557
4,"Q1SWBeam",2,2,0.88,4.03,0.0478571428571429,0.941492638698449,1.35939191529261,0.200000026761884
