"file","MP","Ftrgt","Btrigger","period","risk","SSB","Fbar","Catch","Fbar.1","SSB_rel","Catch_rel","Fbar_rel","ICV"
"mp_0_0.rds","ICES_SAM",0,0,"long-term",0,17753.4322082758,5.28902167838161e-155,1.537203454175e-150,5.28902167838161e-155,3.42320624910623,1.28975729929799e-153,2.30037455457219e-154,0.189922901849747
"mp_0_0.rds","ICES_SAM",0,0,"short-term",0.126857142857143,9674.62332979041,5.29180409117114e-155,8.51649558550932e-151,5.29180409117114e-155,1.8880269474278,7.09978177255923e-154,2.29885838297848e-154,0.234005165458734
"mp_0_0.rds","ICES_SAM",0,0,"all",0.126857142857143,13585.9796302138,5.29063974564457e-155,1.15894723014723e-150,5.29063974564457e-155,2.67241723548061,9.69928177677483e-154,2.29955037323154e-154,0.209591390912905
"mp_0_0.rds","ICES_SAM",0,1000,"long-term",0,17753.4322082758,5.28902167838161e-155,1.537203454175e-150,5.28902167838161e-155,3.42320624910623,1.28975729929799e-153,2.30037455457219e-154,0.189922901849747
"mp_0_0.rds","ICES_SAM",0,1000,"short-term",0.126857142857143,9674.62332979041,5.29180409117114e-155,8.51649558550932e-151,5.29180409117114e-155,1.8880269474278,7.09978177255923e-154,2.29885838297848e-154,0.234005165458734
"mp_0_0.rds","ICES_SAM",0,1000,"all",0.126857142857143,13585.9796302138,5.29063974564457e-155,1.15894723014723e-150,5.29063974564457e-155,2.67241723548061,9.69928177677483e-154,2.29955037323154e-154,0.209591390912905
"mp_0_0.rds","ICES_SAM",0,2000,"long-term",0,17753.4322082758,5.28902167838161e-155,1.537203454175e-150,5.28902167838161e-155,3.42320624910623,1.28975729929799e-153,2.30037455457219e-154,0.189922901849747
"mp_0_0.rds","ICES_SAM",0,2000,"short-term",0.126857142857143,9674.62332979041,5.29180409117114e-155,8.51649558550932e-151,5.29180409117114e-155,1.8880269474278,7.09978177255923e-154,2.29885838297848e-154,0.234005165458734
"mp_0_0.rds","ICES_SAM",0,2000,"all",0.126857142857143,13585.9796302138,5.29063974564457e-155,1.15894723014723e-150,5.29063974564457e-155,2.67241723548061,9.69928177677483e-154,2.29955037323154e-154,0.209591390912905
"mp_0_0.rds","ICES_SAM",0,3000,"long-term",0,17753.4322082758,5.28902167838161e-155,1.537203454175e-150,5.28902167838161e-155,3.42320624910623,1.28975729929799e-153,2.30037455457219e-154,0.189922901849747
"mp_0_0.rds","ICES_SAM",0,3000,"short-term",0.126857142857143,9674.62332979041,5.29180409117114e-155,8.51649558550932e-151,5.29180409117114e-155,1.8880269474278,7.09978177255923e-154,2.29885838297848e-154,0.234005165458734
"mp_0_0.rds","ICES_SAM",0,3000,"all",0.126857142857143,13585.9796302138,5.29063974564457e-155,1.15894723014723e-150,5.29063974564457e-155,2.67241723548061,9.69928177677483e-154,2.29955037323154e-154,0.209591390912905
