"MP","period","OM","risk","catch","SSB","Fbar","ICV"
"rfb","short term","Catch: 100% discards",0.034,0.701182646338712,0.929227841187082,0.648200460914972,0.000101653641989996
"rfb","short term","Catch: no migration",0.009,0.727536601319538,1.26899002601547,0.511774259294505,9.75992128310343e-06
"rfb","short term","M: -50%",0.872,0.563358280221683,0.586074146606786,0.961441158565836,5.86107297051996e-05
"rfb","short term","M: +50%",0.001,0.733018891738629,1.76875896617316,0.345902062187372,2.38666233601248e-05
"rfb","short term","M: Gislason",0.016,0.745600574246853,1.11123755736134,0.610148188262503,6.73301839854146e-06
"rfb","short term","R: no AC",0.002,0.683340589205946,1.20481087244756,0.530010346757183,3.66814151874784e-05
"rfb","short term","R: +20%",0.013,0.590475291764352,1.05254385607319,0.521956646446433,9.25461008421946e-06
"rfb","short term","R: -20%",0.006,0.866788947866476,1.22210108164582,0.643603883808517,1.27055122017827e-05
"rfb","short term","R: failure",0.658,0.504087156505811,0.577762895193645,0.736329646031037,0.00123972666742722
"rfb","short term","Catch: +10%",0.019,0.758505411885939,1.073395684069,0.653323103906836,9.79430277148197e-05
"rfb","short term","Catch: -20%",0.003,0.640942543343551,1.1833858711232,0.495805298377927,6.78483007040542e-05
"rfb","short term","Uncertainty: index +20%",0.013,0.707999724046748,1.1212772972838,0.583806355170527,4.65834924459618e-05
"rfb","all years","Reference set ",0.126571428571429,0.67306254123849,1.45071360202683,0.416387025417063,1.28007694103482e-05
"rfb","all years","Baseline",0.008,0.679295616581779,1.41750255720216,0.436552148606905,6.39440600658236e-06
"rfb","all years","Catch: no discards",0.007,0.742854041610009,2.07689662105228,0.300018106368659,7.06723160053824e-05
"rfb","all years","Catch: 100% discards",0.034,0.611863127402221,1.26112790288939,0.422868642167071,1.33392804435584e-06
"rfb","all years","Catch: no migration",0.009,0.693133575903028,1.60561451708156,0.388013162371666,9.79384720339871e-06
"rfb","all years","M: -50%",0.872,0.601767386313292,0.873591588508289,0.707157127323717,2.16062457416566e-05
"rfb","all years","M: +50%",0.001,0.640420657048732,2.00884247387211,0.258622913169506,2.39099448567925e-05
"rfb","all years","M: Gislason",0.016,0.710776854850953,1.36218343240525,0.456609083599818,6.81967323956645e-06
"rfb","all years","R: no AC",0.002,0.673989014272403,1.51328373513171,0.41684910163135,4.74488825447095e-06
"rfb","all years","R: +20%",0.013,0.598571740337981,1.41600746912424,0.394865168711626,9.31865590492187e-06
"rfb","all years","R: -20%",0.006,0.794085014935394,1.4302071522635,0.49154063375433,1.2850317918256e-05
"rfb","all years","R: failure",0.658,0.135709996238659,0.965768801158627,0.09668963914458,0.000521409620670488
"rfb","all years","Catch: +10%",0.019,0.721082920253493,1.33678213963813,0.490436816310754,6.9187859471076e-05
"rfb","all years","Catch: -20%",0.003,0.632539726368428,1.50512618407104,0.384645498902666,2.42835582921486e-05
"rfb","all years","Uncertainty: index +20%",0.013,0.678798999639538,1.40795626300121,0.440079393414362,9.38441327402728e-06
