"OM","B0","Bmsy","BmsyB0","Bloss_year","Bloss","BlossB0","BlossBmsy","Blim_RR0","Blim_RR0B0","Blim_RR0Bmsy","Blim_BB0","Blim_BB0B0","Blim_BB0Bmsy"
"baseline",21019.8633808202,5476.22480659444,0.260526184560803,"2008",2352.12611867613,0.111900162054448,0.429515989892109,2352.12611867613,0.111900162054448,0.429515989892109,2352.12611867613,0.111900162054448,0.429515989892109
"Catch_no_disc",17915.5769588557,3234.49644423697,0.180541014764147,"2008",2156.4163399205,0.120365442032532,0.666693062458818,27.5812081779655,0.0015395099047777,0.00852720312217626,2004.75596499488,0.111900162054448,0.619804658795291
"Catch_no_surv",24789.0772256612,6881.86885075229,0.277616983807219,"2008",2547.47094356516,0.102765864189897,0.370171387861697,6914.11986296269,0.27891800086069,1.00468637413904,2773.90175873171,0.111900162054448,0.40307390606964
"migr_none",17677.308128477,4068.79120269241,0.230170293639779,"2008",1988.26260754107,0.112475417246255,0.488661744604979,1434.01353217986,0.0811217138807323,0.352442153146354,1978.09364426298,0.111900162054448,0.486162485544609
"M_low",45528.5920182803,10983.3143693007,0.241239930391232,"2008",1915.91655581151,0.042081612254608,0.174438834343726,1068.17426497368,0.0234616142872328,0.0972542739884887,5094.6568249564,0.111900162054448,0.463854229575399
"M_high",14216.6009017753,3788.65697073146,0.266495275270642,"2008",3047.66119131889,0.214373408410045,0.804417294799451,4638.54470771537,0.32627663530571,1.22432427732295,1590.83994477206,0.111900162054448,0.419895481977331
"M_Gislason",22594.2931123725,5519.39850074709,0.244282858210983,"2008",2754.0684723042,0.121892216702991,0.498979820342998,4390.88665030099,0.194336093121522,0.795537167629163,2528.30506078018,0.111900162054448,0.458076194432773
"R_no_AC",21325.4333081362,5338.14544521925,0.250318264022453,"2008",2352.12611867613,0.110296756210751,0.440626083124553,2352.12611867613,0.110296756210751,0.440626083124553,2386.31944306176,0.111900162054448,0.447031551978207
"R_higher",25386.9395939109,6696.4015745252,0.263773486747152,"2008",2349.27617645633,0.0925387704873183,0.35082665672166,2352.12611867613,0.0926510306598867,0.351252249808944,2840.8026546251,0.111900162054448,0.424228240049437
"R_lower",16613.354459947,4359.14198207174,0.262387827369913,"2008",2349.27617645633,0.141408899817324,0.538930868991748,2352.12611867613,0.141580445077896,0.539584654124584,1859.03705633605,0.111900162054448,0.426468572022175
